rank2022,Site,visits2022,Charge /free,In/ outdoor
1,Natural History Museum (South Kensington),"4,654,608",2,I
2,The British Museum,"4,097,253",2,I
3,Tate Modern,"3,883,160",2,I
4,Southbank Centre,"2,947,155",2,I
5,The National Gallery,"2,727,119",2,I
6,V&A South Kensington,"2,370,261",2,I
7,Somerset House,"2,346,580",2,Mix
8,Science Museum,"2,334,930",2,I
9,Tower of London,"2,020,121",3,Mix
10,Royal Botanic Gardens Kew,"1,963,885",3,Mix
11,Royal Museums Greenwich,"1,628,580",1234,I
12,Royal Albert Hall,"1,449,486",5,I
13,St Paul's Cathedral,"1,193,888",2,I
14,British Library,"1,149,070",2,I
15,Westminster Abbey,"1,063,063",5,I
16,ZSL London Zoo,"1,045,289",3,Mix
17,Tate Britain,"913,395",2,I
18,Horniman Museum and Gardens,"790,067",2,Mix
19,The Royal Opera House Covent Garden,"697,001",5,I
20,Royal Academy of Arts,"695,968",3,I
21,IWM London,"684,909",1,I
22,Tower Bridge,"648,001",5,I
23,Shakespeare's Globe,"629,330",4,Mix
24,Old Royal Naval College,"617,843",2,Mix
25,Hampton Court Palace,"527,899",3,Mix
26,the Design Museum,"511,863",2,I
27,Churchill War Rooms,"438,092",3,I
28,The Royal Air Force Museum London,"400,643",1,I
29,Museum of London,"381,211",2,I
30,London Transport Museum,"338,249",5,I
31,Wellcome Collection,"300,213",1,I
32,Kensington Palace,"294,043",3,I
33,Museum of London (Docklands),"206,337",2,I
34,HMS Belfast,"167,933",3,I
35,Eltham Palace and Gardens,"128,986",4,Mix
36,WWT London,"128,739",4,O
37,The Monument to The Great Fire of London,"81,291",5,I
38,Kenwood,"71,877",1,I
39,Guildhall Art Gallery and London's Roman Ampitheatre,"46,423",2,I
